,Created Date,Negative,Neutral,Positive,Tweets Ago,Twitter Account,compound
1,2018-03-20 23:43:13+00:00,0.0,0.417,0.583,2,fox,0.4199
2,2018-03-20 23:21:08+00:00,0.0,0.417,0.583,3,fox,0.4199
3,2018-03-20 22:30:20+00:00,0.0,1.0,0.0,4,fox,0.0
4,2018-03-20 19:54:47+00:00,0.137,0.863,0.0,5,fox,-0.4019
5,2018-03-20 19:54:21+00:00,0.0,0.839,0.161,6,fox,0.3612
6,2018-03-20 18:46:00+00:00,0.221,0.779,0.0,7,fox,-0.5267
7,2018-03-20 05:15:04+00:00,0.0,0.417,0.583,8,fox,0.4199
8,2018-03-19 23:38:23+00:00,0.0,1.0,0.0,9,fox,0.0
9,2018-03-19 22:55:26+00:00,0.0,1.0,0.0,10,fox,0.0
10,2018-03-19 10:25:22+00:00,0.0,0.456,0.544,11,fox,0.9178
11,2018-03-19 06:54:56+00:00,0.0,1.0,0.0,12,fox,0.0
12,2018-03-19 00:57:53+00:00,0.0,0.706,0.294,13,fox,0.8172
13,2018-03-19 00:08:00+00:00,0.079,0.752,0.168,14,fox,0.481
14,2018-03-18 23:11:31+00:00,0.118,0.725,0.156,15,fox,0.0
15,2018-03-18 21:53:04+00:00,0.0,0.776,0.224,16,fox,0.6705
16,2018-03-18 03:17:02+00:00,0.0,0.698,0.302,17,fox,0.3818
17,2018-03-17 21:10:23+00:00,0.0,0.481,0.519,18,fox,0.7569
